MBARI ID	INST ID	WMO	float type	1st lon	1st lat	1st date	msg dir	NC template	Program	Region	tf Bfile	tf Dead	tf NO3	tf pH	tf Chl	tf OCR	max cycle msg file	max cycle file date	latest cycle msg file	latest cycle file date	max cycle proc	max cycle proc date
ss0001	0001	4903026	SOLO	-122.512	36.762	02/05/2022 03:42	\\seaecho.shore.mbari.org\floats\SIO\ss0001\	1	GO-BGC	NPac	1	0	1	1	1	1	231	08/09/2023 08:02	231	08/09/2023 08:02	231	08/09/2023 06:05
ss0002	0002	5906765	SOLO	-166.522	2.005	03/28/2022 17:31	\\seaecho.shore.mbari.org\floats\SIO\ss0002\	1	GO-BGC	EQPac	1	0	1	1	1	1	95	08/10/2023 09:12	95	08/10/2023 09:12	95	08/10/2023 05:53
ss0003	0003	5906766	SOLO	-167.416	-0.015	03/29/2022 03:46	\\seaecho.shore.mbari.org\floats\SIO\ss0003\	1	GO-BGC	EQPac	1	1	1	1	1	1	18	06/26/2023 15:38	18	06/26/2023 15:38	18	04/05/2022 20:26
ss0004	0004	5906767	SOLO	-168.114	-1.602	03/29/2022 11:39	\\seaecho.shore.mbari.org\floats\SIO\ss0004\	1	GO-BGC	EQPac	1	0	1	1	1	1	70	08/10/2023 08:04	70	08/10/2023 08:04	70	08/07/2023 23:11
un0037	0037	5904475	NAVIS	11.352	-39.254	12/05/2014 22:05	\\seaecho.shore.mbari.org\floats\UW\n0037\	2	SOCCOM	SO	1	1	1	0	1	0	224	03/17/2020 13:39	224	03/17/2020 13:39	224	03/17/2020 18:46
ua0068	0068	5903717	APEX	171.832	-65.027	02/19/2012 08:08	\\seaecho.shore.mbari.org\floats\UW\f0068\	5	UW	SO	1	1	1	0	1	0	341	02/07/2018 11:13	341	02/07/2018 11:13	341	02/07/2018 18:50
ua0069	0069	5903890	APEX	-64.095	31.681	11/30/2012 16:16	\\seaecho.shore.mbari.org\floats\UW\f0069\	7	UW	NAtl	1	1	1	0	0	0	173	05/07/2015 00:36	173	05/07/2015 00:36	173	05/07/2015 07:15
un0276	0276	5904479	NAVIS	-34.983	52.823	02/10/2014 07:49	\\seaecho.shore.mbari.org\floats\UW\n0276\	2	UW	NAtl	1	1	1	0	1	0	197	12/27/2017 21:44	197	12/27/2017 21:44	197	12/17/2017 22:07
un0412	0412	NO_WMO_un0412	NAVIS	-157.990	22.748	11/03/2014 19:51	\\seaecho.shore.mbari.org\floats\duplicate\UW\n0412\	5	UW	NPac	0	1	0	1	1	0	117	03/30/2015 20:57	117	03/30/2015 20:57	117	03/31/2015 03:36
un0506	0506	5904670	NAVIS	93.642	-62.984	01/24/2016 08:43	\\seaecho.shore.mbari.org\floats\UW\n0506\	1	SOCCOM	SO	1	1	1	1	1	0	44	03/29/2017 01:38	44	03/29/2017 01:38	44	03/29/2017 08:00
